Library	Species	Species_strain	Species_scientific_name	Organ_detail	Organ_group	Developmental_stage	Stage_detail	Timepoint	Group	Sex	Filename	Used_library	Sequencing_runs	Total_number_reads	Total_number_aligned_reads	Percent_aligned_reads	Extraction_protocol	RQN	RIN	HDBR_ID
5780	Human	Human	Homo_sapiens	Heart	Heart	19wpc	19 weeks	10	Human.Heart.10	Male	5780sTS.Human.Heart.19w.Male.sorted.bam	Yes	OBIWAN 179 lane 6	49874679	49254743	99%	QIAgen RNeasy DTT	5.9		12520.0
5783	Human	Human	Homo_sapiens	Heart	Heart	19wpc	19 weeks	10	Human.Heart.10	Female	5783sTS.Human.Heart.19w.Female.sorted.bam	Yes	WINDU 71 lane 1	25409360	25185565	99%	QIAgen RNeasy DTT			12545.0
3586	Human	Human	Homo_sapiens	Heart	Heart	4wpc	CS14	1	Human.Heart.1	Female	3586sTS.Human.Heart.CS14.Female.sorted.bam	Yes	OBIWAN 149 lane 8	27683725	27513677	99%	QIAgen RNeasy DTT	8.8		11840.0
3588	Human	Human	Homo_sapiens	Heart	Heart	4wpc	CS13	1	Human.Heart.1	Male	3588sTS.Human.Heart.CS13.Male.sorted.bam	Yes	OBIWAN 149 lane 8	23176479	23014214	99%	QIAgen RNeasy DTT	9.1		11993.0
3671	Human	Human	Homo_sapiens	Heart	Heart	5wpc	CS16	2	Human.Heart.2	Male	3671sTS.Human.Heart.CS16.Male.sorted.bam	Yes	WINDU 47 lane 4	51240691	50707418	99%	QIAgen RNeasy DTT	9.1		11959.0
5642	Human	Human	Homo_sapiens	Heart	Heart	5wpc	5 weeks	2	Human.Heart.2	Female	5642sTS.Human.Heart.5w.Female.sorted.bam	Yes	WINDU 67 lane 5	28027137	27822507	99%	QIAgen RNeasy DTT	7.8		12117.0
2088	Human	Human	Homo_sapiens	Heart	Heart	6wpc	CS 18	3	Human.Heart.3	Male	2088sTS.Human.Heart.CS18.Male.sorted.bam	Yes	VADER 145 lane 3	44204305	43495520	98%	QIAgen RNeasy QIAzol	7.6		11771.0
3675	Human	Human	Homo_sapiens	Heart	Heart	6wpc	CS17	3	Human.Heart.3	Female	3675sTS.Human.Heart.CS17.Female.sorted.bam	Yes	WINDU 47 lane 4	28306394	28024059	99%	QIAgen RNeasy DTT	9.0		11929.0
2027	Human	Human	Homo_sapiens	Heart	Heart	7wpc	CS 21	4	Human.Heart.4	Male	2027sTS.Human.Heart.CS21.Male.sorted.bam	Yes	VADER 144 lane 2	19555588	19448270	99%	QIAgen RNeasy QIAzol	7.4		11731.0
3573	Human	Human	Homo_sapiens	Heart	Heart	7wpc	CS20	4	Human.Heart.4	Female	3573sTS.Human.Heart.CS20.Female.sorted.bam	Yes	OBIWAN 149 lane 8	35013290	34810884	99%	QIAgen RNeasy DTT	9.4		12080.0
3638	Human	Human	Homo_sapiens	Heart	Heart	7wpc	CS21	4	Human.Heart.4	Male	3638sTS.Human.Heart.CS21.Male.sorted.bam	Yes	WINDU 46 lane 1	33872936	33199057	98%	QIAgen RNeasy DTT	9.7		11965.0
1443	Human	Human	Homo_sapiens	Heart	Heart	8wpc	CS 23	5	Human.Heart.5	Male	1443sTSm.Human.Heart.CS23.Male.sorted.bam	Yes	VADER 142 lane 8 / VADER 194 lane 3	28182518	27987057	99%	QIAgen RNeasy QIAzol	6.2	9.3	11696.0
2030	Human	Human	Homo_sapiens	Heart	Heart	8wpc	CS22	5	Human.Heart.5	Male	2030sTSb.Human.Heart.CS22.Male.sorted.bam	Yes	OBIWAN 133 lane 6	34282154	33935560	99%	QIAgen RNeasy QIAzol	7.4		11736.0
2032	Human	Human	Homo_sapiens	Heart	Heart	8wpc	CS22	5	Human.Heart.5	Female	2032sTSm.Human.Heart.CS22.Female.sorted.bam	Yes	VADER 144 lane 3 / OBIWAN 100 lane 3	51850200	50750555	98%	QIAgen RNeasy QIAzol	7.9		11739.0
2037	Human	Human	Homo_sapiens	Heart	Heart	8wpc	8 weeks	5	Human.Heart.5	Male	2037sTSb.Human.Heart.8w.Male.sorted.bam	Yes	OBIWAN 133 lane 6	28713139	28487587	99%	QIAgen RNeasy QIAzol	6.3		11740.0
2081	Human	Human	Homo_sapiens	Heart	Heart	8wpc	CS 23	5	Human.Heart.5	Female	2081sTS.Human.Heart.CS23.Female.sorted.bam	Yes	VADER 145 lane 3	44542965	43986274	99%	QIAgen RNeasy QIAzol	7.6		11786.0
2039	Human	Human	Homo_sapiens	Heart	Heart	9wpc	9 weeks	6	Human.Heart.6	Male	2039sTSm.Human.Heart.9w.Male.sorted.bam	Yes	OBIWAN 100 lane 4 / VADER 144 lane 3	45984728	45615257	99%	QIAgen RNeasy QIAzol	7.6		11745.0
2051	Human	Human	Homo_sapiens	Heart	Heart	9wpc	9 weeks	6	Human.Heart.6	Female	2051sTSm.Human.Heart.9w.Female.sorted.bam	Yes	OBIWAN 100 lane 2 / VADER 144 lane 5	54876181	54526500	99%	QIAgen RNeasy QIAzol	8.0		11758.0
2071	Human	Human	Homo_sapiens	Heart	Heart	9wpc	9 weeks	6	Human.Heart.6	Male	2071sTS.Human.Heart.9w.Male.sorted.bam	Yes	VADER 145 lane 2	39342061	38432813	98%	QIAgen RNeasy QIAzol	7.4		11768.0
5818	Human	Human	Homo_sapiens	Heart	Heart	infant	226 days post birth	12	Human.Heart.12	Male	5818sTS.Human.Heart.226dpb.Male.sorted.bam	Yes	OBIWAN 203 lane 3	35637616	34591644	97%	QIAgen RNeasy DTT	6.2		
5828	Human	Human	Homo_sapiens	Heart	Heart	infant	6 months post birth	12	Human.Heart.12	Female	5828sTS.Human.Heart.6mpb.Female.sorted.bam	Yes	OBIWAN 203 lane 3	19795061	19614481	99%	QIAgen RNeasy DTT	7.4		
5836	Human	Human	Homo_sapiens	Heart	Heart	infant	270 days post birth	12	Human.Heart.12	Male	5836sTS.Human.Heart.127dpb.Male.sorted.bam	Yes	OBIWAN 200 lane 7	26562452	25194031	95%	QIAgen RNeasy DTT	7.8		
5843	Human	Human	Homo_sapiens	Heart	Heart	newborn	0 days post birth	12	Human.Heart.12	Female	5843sTS.Human.Heart.0dpb.Female.sorted.bam	Yes	OBIWAN 200 lane 8	40894245	39733035	97%	QIAgen RNeasy DTT	7.8		
5905	Human	Human	Homo_sapiens	Heart	Heart	newborn	94 days post birth	12	Human.Heart.12	Male	5905sTS.Human.Heart.94dpb.Male.sorted.bam	Yes	OBIWAN 203 lane 4	26983321	26580518	99%	QIAgen RNeasy DTT	7.2		
6043	Human	Human	Homo_sapiens	Heart	Heart	olderMidAge	54 years post birth	14	Human.Heart.14	Male	6043sTS.Human.Heart.54ypb.Male.sorted.bam	Yes	OBIWAN 203 lane 6	33098616	29684593	90%	QIAgen RNeasy QIAzol			
5822	Human	Human	Homo_sapiens	Heart	Heart	teenager	13 years post birth	13	Human.Heart.13	Male	5822sTS.Human.Heart.13ypb.Male.sorted.bam	Yes	OBIWAN 200 lane 7	22150161	21540206	97%	QIAgen RNeasy DTT	7.4		
5839	Human	Human	Homo_sapiens	Heart	Heart	toddler	2 years post birth	12	Human.Heart.12	Male	5839sTS.Human.Heart.2ypb.Male.sorted.bam	Yes	OBIWAN 200 lane 8	13262802	12987030	98%	QIAgen RNeasy DTT	7.7		
6100	Human	Human	Homo_sapiens	Heart	Heart	toddler	4 years post birth	12	Human.Heart.12	Female	6100sTS.Human.Heart.4ypb.Female.sorted.bam	Yes	OBIWAN 203 lane 6	23967791	17343938	72%	QIAgen RNeasy DTT	8.3		
6042	Human	Human	Homo_sapiens	Heart	Heart	youngAdult	25 years post birth	13	Human.Heart.13	Male	6042sTS.Human.Heart.25ypb.Male.sorted.bam	Yes	WINDU 107 lane 3	29787570	29349217	99%	QIAgen RNeasy QIAzol	6.5		
3653	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	10wpc	10 weeks	6	Human.Cerebellum.6	Male	3653sTS.Human.Hindbrain.10w.Male.sorted.bam	Yes	WINDU 47 lane 3	46175127	45679238	99%	QIAgen RNeasy DTT	7.2		11950.0
5743	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	10wpc	10 weeks	6	Human.Cerebellum.6	Female	5743sTS.Human.Hindbrain.10w.Female.sorted.bam	Yes	WINDU 104 lane 7	41069878	40729969	99%	QIAgen RNeasy DTT	9.8		12149.0
2048	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	11wpc	11 weeks	6	Human.Cerebellum.6	Male	2048sTSm.Human.Hindbrain.11w.Male.sorted.bam	Yes	VADER 194 lane 3 / VADER 144 lane 4	26102823	25848265	99%	QIAgen RNeasy QIAzol	7.8		11755.0
2096	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	11wpc	11 weeks	6	Human.Cerebellum.6	Male	2096sTS.Human.Cerebellum.11w.Male.sorted.bam	Yes	VADER 145 lane 4	56870921	56384875	99%	QIAgen RNeasy QIAzol	5.8		11798.0
3668	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	11wpc	11 weeks	6	Human.Cerebellum.6	Male	3668sTS.Human.Hindbrain.11w.Male.sorted.bam	Yes	WINDU 47 lane 3	40511631	39746441	98%	QIAgen RNeasy DTT	8.3		11951.0
5637	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	11wpc	11 weeks	6	Human.Cerebellum.6	Female	5637sTS.Human.Hindbrain.11w.Female.sorted.bam	Yes	OBIWAN 171 lane 4	25993325	25748649	99%	QIAgen RNeasy DTT	7.8		12275.0
3769	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	12wpc	12 weeks	7	Human.Cerebellum.7	Male	3769sTS.Human.Hindbrain.12w.Male.sorted.bam	Yes	WINDU 47 lane 5	65767183	64168226	98%	QIAgen RNeasy DTT	7.6		12007.0
5708	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	12wpc	12 weeks	7	Human.Cerebellum.7	Female	5708sTS.Human.Hindbrain.12w.Female.sorted.bam	Yes	OBIWAN 179 lane 7	44283953	43951562	99%	QIAgen RNeasy DTT	9.4		12513.0
5722	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	12wpc	12 weeks	7	Human.Cerebellum.7	Male	5722sTS.Human.Hindbrain.12w.Male.sorted.bam	Yes	OBIWAN 179 lane 8	25945309	25730490	99%	QIAgen RNeasy DTT	9.2		12368.0
5670	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	13wpc	13 weeks	8	Human.Cerebellum.8	Male	5670sTS.Human.Hindbrain.13w.Male.sorted.bam	Yes	OBIWAN 171 lane 7	33827893	33573523	99%	QIAgen RNeasy DTT	8.4		12163.0
5724	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	13wpc	13 weeks	8	Human.Cerebellum.8	Male	5724sTS.Human.Hindbrain.13w.Male.sorted.bam	Yes	OBIWAN 179 lane 8	23450540	23290471	99%	QIAgen RNeasy DTT	8.8		12593.0
5943	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	13wpc	13 weeks	8	Human.Cerebellum.8	Female	5943sTS.Human.Hindbrain.13w.Female.sorted.bam	Yes	OBIWAN 198 lane 5	21620016	21506721	99%	QIAgen RNeasy DTT	9.3		12760.0
5669	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	16wpc	16 weeks	9	Human.Cerebellum.9	Female	5669sTS.Human.Hindbrain.16w.Female.sorted.bam	Yes	WINDU 67 lane 3	34658799	34440134	99%	QIAgen RNeasy DTT	7.5		12411.0
5671	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	16wpc	16 weeks	9	Human.Cerebellum.9	Male	5671sTS.Human.Hindbrain.16w.Male.sorted.bam	Yes	OBIWAN 171 lane 7	45960122	45440848	99%	QIAgen RNeasy DTT	7.9		12508.0
5956	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	16wpc	16 weeks	9	Human.Cerebellum.9	Female	5956sTS.Human.Hindbrain.16w.Female.sorted.bam	Yes	OBIWAN 203 lane 6	25163678	24901383	99%	QIAgen RNeasy DTT	6.7		12705.0
5622	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	4wpc	4 weeks	1	Human.Cerebellum.1	Female	5622sTS.Human.Hindbrain.4w.Female.sorted.bam	Yes	OBIWAN 171 lane 3	25500559	25169713	99%	QIAgen RNeasy DTT	9.2		12126.0
5625	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	4wpc	4 weeks	1	Human.Cerebellum.1	Male	5625sTS.Human.Hindbrain.4w.Male.sorted.bam	Yes	OBIWAN 171 lane 3	33062460	32538930	98%	QIAgen RNeasy DTT	9.6		12179.0
6097	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	4wpc	4 weeks	1	Human.Cerebellum.1	Male	6097sTS.Human.Hindbrain.4w.Male.sorted.bam	Yes	OBIWAN 203 lane 6	41751582	41270237	99%	QIAgen RNeasy DTT	10.0		12980.0
3670	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	5wpc	CS16	2	Human.Cerebellum.2	Male	3670sTS.Human.Hindbrain.CS16.Male.sorted.bam	Yes	WINDU 47 lane 4	34127910	33795912	99%	QIAgen RNeasy DTT	8.9		11959.0
5635	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	5wpc	5 weeks	2	Human.Cerebellum.2	Female	5635sTS.Human.Hindbrain.5w.Female.sorted.bam	Yes	OBIWAN 171 lane 4	31505804	31323839	99%	QIAgen RNeasy DTT	8.3		12117.0
2089	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	6wpc	CS 18	3	Human.Cerebellum.3	Male	2089sTS.Human.Hindbrain.CS18.Male.sorted.bam	Yes	VADER 145 lane 4	30130646	29884478	99%	QIAgen RNeasy QIAzol	7.6		11771.0
3672	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	6wpc	CS18	3	Human.Cerebellum.3	Male	3672sTS.Human.Hindbrain.CS18.Male.sorted.bam	Yes	WINDU 47 lane 4	27545909	27344375	99%	QIAgen RNeasy DTT	8.4		12006.0
3674	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	6wpc	CS17	3	Human.Cerebellum.3	Female	3674sTS.Human.Hindbrain.CS17.Female.sorted.bam	Yes	WINDU 47 lane 4	50534113	50106593	99%	QIAgen RNeasy DTT	9.4		11978.0
5742	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	6wpc	6 weeks	3	Human.Cerebellum.3	Female	5742sTS.Human.Hindbrain.6w.Female.sorted.bam	Yes	WINDU 104 lane 7	39216047	38743978	99%	QIAgen RNeasy DTT	9.1		12331.0
2029	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	7wpc	CS21	4	Human.Cerebellum.4	Male	2029sTSb.Human.Hindbrain.CS21.Male.sorted.bam	Yes	OBIWAN 133 lane 6	37315858	37080179	99%	QIAgen RNeasy QIAzol	8.2		11731.0
3572	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	7wpc	CS20	4	Human.Cerebellum.4	Female	3572sTS.Human.Hindbrain.CS20.Female.sorted.bam	Yes	OBIWAN 149 lane 7	44600353	43972145	99%	QIAgen RNeasy DTT	9.4		12080.0
3637	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	7wpc	CS21	4	Human.Cerebellum.4	Male	3637sTS.Human.Hindbrain.CS21.Male.sorted.bam	Yes	WINDU 46 lane 1	49050834	47750165	97%	QIAgen RNeasy DTT	9.4		11965.0
2031	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	8wpc	CS 22	5	Human.Cerebellum.5	Male	2031sTS.Human.Hindbrain.CS22.Male.sorted.bam	Yes	VADER 144 lane 2	18775722	18675985	99%	QIAgen RNeasy QIAzol	6.8		11736.0
2033	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	8wpc	CS 22	5	Human.Cerebellum.5	Female	2033sTS.Human.Hindbrain.CS22.Female.sorted.bam	Yes	VADER 144 lane 3	27656242	27462635	99%	QIAgen RNeasy QIAzol	7.8		11739.0
2036	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	8wpc	8 weeks	5	Human.Cerebellum.5	Male	2036sTSm.Human.Hindbrain.8w.Male.sorted.bam	Yes	OBIWAN 100 lane 2 / VADER 144 lane 3	45483594	45147188	99%	QIAgen RNeasy QIAzol	7.7		11740.0
2082	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	8wpc	CS 23	5	Human.Cerebellum.5	Female	2082sTSb.Human.Hindbrain.CS23.Female.sorted.bam	Yes	VADER 145 lane 3	35083064	34676757	99%	QIAgen RNeasy QIAzol	7.2		11786.0
2040	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	9wpc	9 weeks	6	Human.Cerebellum.6	Male	2040sTS.Human.Hindbrain.9w.Male.sorted.bam	Yes	VADER 144 lane 3	18093097	18005949	100%	QIAgen RNeasy QIAzol	6.6		11745.0
2054	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	9wpc	9 weeks	6	Human.Cerebellum.6	Female	2054sTS.Human.Hindbrain.9w.Female.sorted.bam	Yes	VADER 144 lane 5	26845626	26652564	99%	QIAgen RNeasy QIAzol	7.9		11758.0
5555	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	infant	221 days post birth	12	Human.Cerebellum.12	Male	5555sTS.Human.Cerebellum.221dpb.Male.sorted.bam	Yes	WINDU 52 lane 7	38734532	38389862	99%	QIAgen RNeasy QIAzol			
5568	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	infant	270 days post birth	12	Human.Cerebellum.12	Male	5568sTS.Human.Cerebellum.270dpb.Male.sorted.bam	Yes	WINDU 52 lane 8	31950535	31793907	100%	QIAgen RNeasy QIAzol			
5849	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	infant	6 months post birth	12	Human.Cerebellum.12	Female	5849sTS.Human.Cerebellum.6mpb.Female.sorted.bam	Yes	OBIWAN 203 lane 3	29282411	28820325	98%	QIAgen RNeasy DTT	5.6		
5510	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	newborn	4 days post birth	12	Human.Cerebellum.12	Male	5510sTS.Human.Cerebellum.4dpb.Male.sorted.bam	Yes	WINDU 52 lane 3	47334805	46975647	99%	QIAgen RNeasy QIAzol			
5527	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	newborn	19 days post birth	12	Human.Cerebellum.12	Female	5527sTS.Human.Cerebellum.19dpb.Female.sorted.bam	Yes	WINDU 52 lane 5	26544975	26299001	99%	QIAgen RNeasy QIAzol			
5842	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	newborn	0 days post birth	12	Human.Cerebellum.12	Female	5842sTS.Human.Cerebellum.0dpb.Female.sorted.bam	Yes	OBIWAN 198 lane 4	29920443	29694829	99%	QIAgen RNeasy DTT	8.1		
5848	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	newborn	0 days post birth	12	Human.Cerebellum.12	Female	5848sTS.Human.Cerebellum.0dpb.Female.sorted.bam	Yes	OBIWAN 200 lane 8	12395552	12216004	99%	QIAgen RNeasy DTT	7.0		
5516	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	olderMidAge	53 years post birth	14	Human.Cerebellum.14	Male	5516sTS.Human.Cerebellum.53ypb.Male.sorted.bam	Yes	WINDU 52 lane 3	26602047	26395538	99%	QIAgen RNeasy QIAzol			
5549	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	olderMidAge	50 years post birth	14	Human.Cerebellum.14	Male	5549sTS.Human.Cerebellum.50ypb.Male.sorted.bam	Yes	OBIWAN 157 lane 4 WINDU 52 lane 6 OBIWAN 202 lanes 5 and 6	96476395	95868610	99%	QIAgen RNeasy QIAzol			
5562	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	school	8 years post birth	13	Human.Cerebellum.13	Male	5562sTS.Human.Cerebellum.8ypb.Male.sorted.bam	Yes	OBIWAN 157 lane 7	29594665	29423476	99%	QIAgen RNeasy QIAzol			
5567	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	school	7 years post birth	13	Human.Cerebellum.13	Male	5567sTS.Human.Cerebellum.7ypb.Male.sorted.bam	Yes	WINDU 52 lane 8	37364165	37121002	99%	QIAgen RNeasy QIAzol			
6046	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	school	8 years post birth	13	Human.Cerebellum.13	Female	6046sTS.Human.Cerebellum.8ypb.Female.sorted.bam	Yes	WINDU 107 lane 3	24117708	24010143	100%	QIAgen RNeasy DTT	8.2		
5525	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	senior	58 years post birth	15	Human.Cerebellum.15	Male	5525sTS.Human.Cerebellum.58ypb.Male.sorted.bam	Yes	WINDU 52 lane 4	32556733	32339572	99%	QIAgen RNeasy QIAzol			
5573	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	senior	58 years post birth	15	Human.Cerebellum.15	Male	5573sTS.Human.Cerebellum.58ypb.Male.sorted.bam	Yes	WINDU 52 lane 8	45094496	44893701	100%	QIAgen RNeasy QIAzol			
5511	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	teenager	13 years post birth	13	Human.Cerebellum.13	Male	5511sTS.Human.Cerebellum.13ypb.Male.sorted.bam	Yes	WINDU 52 lane 3	24905151	24692408	99%	QIAgen RNeasy QIAzol			
5534	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	teenager	16 years post birth	13	Human.Cerebellum.13	Male	5534sTS.Human.Cerebellum.16ypb.Male.sorted.bam	Yes	OBIWAN 157 lane 4 WINDU 52 lane 6 OBIWAN 202 lanes 5 and 6	100922969	100258440	99%	QIAgen RNeasy QIAzol			
5545	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	teenager	14 years post birth	13	Human.Cerebellum.13	Male	5545sTS.Human.Cerebellum.14ypb.Male.sorted.bam	Yes	OBIWAN 157 lane 4 WINDU 52 lane 6 OBIWAN 202 lanes 5 and 6	86462851	69247342	80%	QIAgen RNeasy QIAzol			
5565	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	teenager	17 years post birth	13	Human.Cerebellum.13	Male	5565sTS.Human.Cerebellum.17ypb.Male.sorted.bam	Yes	OBIWAN 157 lane 7	45058811	44798162	99%	QIAgen RNeasy QIAzol			
5559	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	toddler	2 years post birth	12	Human.Cerebellum.12	Female	5559sTS.Human.Cerebellum.2ypb.Female.sorted.bam	Yes	OBIWAN 157 lane 7	28690375	28480175	99%	QIAgen RNeasy QIAzol			
5846	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	toddler	4 years post birth	12	Human.Cerebellum.12	Male	5846sTS.Human.Cerebellum.4ypb.Male.sorted.bam	Yes	OBIWAN 198 lane 7	25005126	24838083	99%	QIAgen RNeasy DTT	7.0		
5520	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	youngAdult	29 years post birth	13	Human.Cerebellum.13	Male	5520sTS.Human.Cerebellum.29ypb.Male.sorted.bam	Yes	WINDU 52 lane 4	43948384	43656318	99%	QIAgen RNeasy QIAzol			
5540	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	youngAdult	29 years post birth	13	Human.Cerebellum.13	Male	5540sTS.Human.Cerebellum.29ypb.Male.sorted.bam	Yes	OBIWAN 157 lane 4 WINDU 52 lane 6 OBIWAN 202 lanes 5 and 6	107812179	90884456	84%	QIAgen RNeasy QIAzol			
6047	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	youngAdult	32 years post birth	13	Human.Cerebellum.13	Female	6047sTS.Human.Cerebellum.32ypb.Female.sorted.bam	Yes	OBIWAN 203 lane 6	33016102	32217193	98%	QIAgen RNeasy DTT	6.0		
5522	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	youngMidAge	39 years post birth	14	Human.Cerebellum.14	Male	5522sTS.Human.Cerebellum.39ypb.Male.sorted.bam	Yes	WINDU 52 lane 4	23644529	23475333	99%	QIAgen RNeasy QIAzol			
5547	Human	Human	Homo_sapiens	Hindbrain/Cerebellum	Cerebellum	youngMidAge	39 years post birth	14	Human.Cerebellum.14	Male	5547sTS.Human.Cerebellum.39ypb.Male.sorted.bam	Yes	OBIWAN 157 lane 4 WINDU 52 lane 6 OBIWAN 202 lanes 5 and 6	100732386	100047467	99%	QIAgen RNeasy QIAzol			
5646	Human	Human	Homo_sapiens	Kidney	Kidney	10wpc	10 weeks	6	Human.Kidney.6	Female	5646sTS.Human.Kidney.10w.Female.sorted.bam	Yes	OBIWAN 171 lane 5	42455384	41581285	98%	QIAgen RNeasy DTT	9.5		12434.0
5709	Human	Human	Homo_sapiens	Kidney	Kidney	10wpc	10 weeks	6	Human.Kidney.6	Female	5709sTS.Human.Kidney.10w.Female.sorted.bam	Yes	OBIWAN 179 lane 8	35546480	35291714	99%	QIAgen RNeasy DTT	9.2		12522.0
5930	Human	Human	Homo_sapiens	Kidney	Kidney	10wpc	10 weeks	6	Human.Kidney.6	Female	5930sTS.Human.Kidney.10w.Female.sorted.bam	Yes	OBIWAN 198 lane 2	21657174	21508784	99%	QIAgen RNeasy DTT	9.6		12721.0
1439	Human	Human	Homo_sapiens	Kidney	Kidney	11wpc	11 weeks	6	Human.Kidney.6	Male	1439sTS.Human.Kidney.11w.Male.sorted.bam	Yes	VADER 142 lane 7	29258109	29064078	99%	QIAgen RNeasy QIAzol		8.5	11697.0
5647	Human	Human	Homo_sapiens	Kidney	Kidney	11wpc	11 weeks	6	Human.Kidney.6	Female	5647sTS.Human.Kidney.11w.Female.sorted.bam	Yes	OBIWAN 171 lane 5	27052712	26388376	98%	QIAgen RNeasy DTT	6.3		12275.0
5648	Human	Human	Homo_sapiens	Kidney	Kidney	12wpc	12 weeks	7	Human.Kidney.7	Female	5648sTS.Human.Kidney.12w.Female.sorted.bam	Yes	OBIWAN 171 lane 5	29330182	28684302	98%	QIAgen RNeasy DTT	7.0		12343.0
5651	Human	Human	Homo_sapiens	Kidney	Kidney	12wpc	12 weeks	7	Human.Kidney.7	Male	5651sTS.Human.Kidney.12w.Male.sorted.bam	Yes	OBIWAN 171 lane 5	35798241	34735536	97%	QIAgen RNeasy DTT	7.6		12342.0
5655	Human	Human	Homo_sapiens	Kidney	Kidney	13wpc	13 weeks	8	Human.Kidney.8	Male	5655sTS.Human.Kidney.13w.Male.sorted.bam	Yes	OBIWAN 171 lane 6	21347349	21191132	99%	QIAgen RNeasy DTT	7.3		12344.0
5697	Human	Human	Homo_sapiens	Kidney	Kidney	13wpc	13 weeks	8	Human.Kidney.8	Female	5697sTS.Human.Kidney.13w.Female.sorted.bam	Yes	WINDU 69 lane 5	37470909	37219127	99%	QIAgen RNeasy DTT	8.4		12467.0
5713	Human	Human	Homo_sapiens	Kidney	Kidney	13wpc	13 weeks	8	Human.Kidney.8	Male	5713sTS.Human.Kidney.13w.Male.sorted.bam	Yes	OBIWAN 179 lane 8	35474518	35212616	99%	QIAgen RNeasy DTT	8.1		12525.0
5687	Human	Human	Homo_sapiens	Kidney	Kidney	16wpc	16 weeks	9	Human.Kidney.9	Male	5687sTS.Human.Kidney.16w.Male.sorted.bam	Yes	WINDU 67 lane 4	23023255	22891318	99%	QIAgen RNeasy DTT	8.1		12508.0
